Multi-phase	B-T 0 11
flows	I-T 12 17
are	O 18 21
common,	O 22 28
in	O 30 32
fact	O 33 37
quite	O 38 43
general,	O 44 51
in	O 53 55
environmental	B-P 56 69
and	I-P 70 73
industrial	I-P 74 84
processes.	I-P 85 94

Broadly	O 96 103
these	O 104 109
may	O 110 113
be	O 114 116
modelled	O 117 125
as	O 126 128
continuous	O 129 139
problems	O 140 148
where	O 149 154
phases	B-P 155 161
are	I-P 162 165
mixed	I-P 166 171
(e.g.	O 172 176
oil–water	B-P 178 187
homogenisation	I-P 188 202
[36],	O 203 207
sediment	B-P 209 217
transport	I-P 218 227
[18])	O 228 233
or	O 234 236
interface	B-P 237 246
problems	I-P 247 255
where	O 256 261
phases	O 262 268
are	O 269 272
distinct	O 273 281
and	O 282 285
interact	O 286 294
at	O 295 297
the	O 298 301
interface	O 302 311
(e.g.	O 312 316
gas-assisted	B-P 318 330
injection	I-P 331 340
moulding	I-P 341 349
[21],	O 350 354
liquid	B-P 356 362
jet	I-P 363 366
breakup	I-P 367 374
[40]).	O 375 380

In	O 382 384
some	O 385 389
cases	O 390 395
flows	O 396 401
start	O 402 407
as	O 408 410
interface	O 411 420
problems	O 421 429
but	O 430 433
as	O 434 436
mixing	B-P 437 443
occurs	O 444 450
at	O 451 453
the	O 454 457
interface	O 458 467
they	O 468 472
become	O 473 479
effectively	O 480 491
continuous,	O 492 502
at	O 504 506
least	O 507 512
locally.	O 513 520

Air	B-T 522 525
entrainment,	I-T 526 537
perhaps	O 539 546
due	O 547 550
to	O 551 553
wave	B-P 554 558
breaking,	I-P 559 567
is	O 569 571
an	O 572 574
obvious	O 575 582
example.	O 583 590

We	O 592 594
consider	O 595 603
here	O 604 608
two-phase	B-T 609 618
interface	I-T 619 628
problems	I-T 629 637
where	O 638 643
the	O 644 647
interface	O 648 657
remains	O 658 665
distinct	O 666 674
and	O 675 678
the	O 679 682
density	O 683 690
difference	O 691 701
is	O 702 704
high,	O 705 709
e.g.	O 711 714
air	B-M 716 719
and	O 720 723
water,	B-M 724 729
and	O 731 734
where	O 735 740
one	O 741 744
phase	O 745 750
may	O 751 754
be	O 755 757
considered	O 758 768
incompressible.	O 769 783

The	O 785 788
interface	O 789 798
is	O 799 801
transient	O 802 811
and	O 812 815
may	O 816 819
become	O 820 826
highly	O 827 833
distorted	B-P 834 843
and	I-P 844 847
interconnected.	I-P 848 862

Such	O 864 868
problems	O 869 877
have	O 878 882
been	O 883 887
tackled	O 888 895
with	O 896 900
mesh-based	B-P 901 911
methods	I-P 912 919
using	O 920 925
periodic	O 926 934
(or	O 935 938
adaptive)	O 939 948
re-meshing	B-P 949 959
or	O 960 962
additional	O 963 973
phase	B-P 974 979
tracking	I-P 980 988
functions	I-P 989 998
[40].	O 999 1003

However,	O 1005 1012
these	O 1014 1019
approaches	O 1020 1030
can	O 1031 1034
be	O 1035 1037
time-consuming	O 1038 1052
to	O 1053 1055
implement	O 1056 1065
and	O 1066 1069
prone	O 1070 1075
to	O 1076 1078
errors	O 1079 1085
in	O 1086 1088
surface	O 1089 1096
representation	O 1097 1111
[50]	O 1112 1116
or	O 1117 1119
mass	O 1120 1124
conservation	O 1125 1137
[34].	O 1138 1142

