In	O 0 2
the	O 3 6
current	O 7 14
CLSVOF	B-P 15 21
method,	I-P 22 28
the	O 30 33
normal	O 34 40
vector	O 41 47
is	O 48 50
calculated	O 51 61
directly	O 62 70
by	O 71 73
discretising	O 74 86
the	O 87 90
LS	B-P 91 93
gradient	O 94 102
using	O 103 108
a	O 109 110
finite	B-P 111 117
difference	I-P 118 128
scheme.	I-P 129 135

By	O 137 139
appropriately	O 140 153
choosing	O 154 162
one	O 163 166
of	O 167 169
three	O 170 175
finite	B-P 176 182
difference	I-P 183 193
schemes	I-P 194 201
(central,	O 202 210
forward,	I-P 212 219
or	I-P 221 223
backward	I-P 224 232
differencing),	O 233 246
it	O 248 250
has	O 251 254
been	O 255 259
demonstrated	O 260 272
that	O 273 277
thin	B-M 278 282
liquid	I-M 283 289
ligaments	I-M 290 299
can	O 300 303
be	O 304 306
well	O 307 311
resolved	O 312 320
see	O 321 324
Xiao	O 325 329
(2012).	O 330 336

Although	O 338 346
a	O 347 348
high	B-P 349 353
order	I-P 354 359
discretisation	I-P 360 374
scheme	I-P 375 381
(e.g.	O 382 386
5th	B-P 388 391
order	I-P 392 397
WENO)	O 398 403
has	O 404 407
been	O 408 412
found	O 413 418
necessary	O 419 428
for	O 429 432
LS	B-P 433 435
evolution	O 436 445
in	O 446 448
pure	O 449 453
LS	B-P 454 456
methods	I-P 457 464
to	O 465 467
reduce	B-T 468 474
mass	I-T 475 479
error,	I-T 480 485
low	B-P 487 490
order	I-P 491 496
LS	I-P 497 499
discretisation	I-P 500 514
schemes	I-P 515 522
(2nd	O 523 527
order	O 528 533
is	O 534 536
used	O 537 541
here)	O 542 547
can	O 548 551
produce	O 552 559
accurate	O 560 568
results	O 569 576
when	O 577 581
the	O 582 585
LS	B-P 586 588
equation	O 589 597
is	O 598 600
solved	O 601 607
and	O 608 611
constrained	O 612 623
as	O 624 626
indicated	O 627 636
above	O 637 642
in	O 643 645
a	O 646 647
CLSVOF	B-P 648 654
method	I-P 655 661
(see	O 662 666
Xiao,	O 667 671
2012),	O 673 678
since	O 680 685
the	O 686 689
VOF	B-P 690 693
method	I-P 694 700
maintains	O 701 710
2nd	O 711 714
order	O 715 720
accuracy.	O 721 729

This	O 731 735
is	O 736 738
a	O 739 740
further	O 741 748
reason	O 749 755
to	O 756 758
adopt	O 759 764
the	O 765 768
CLSVOF	B-P 769 775
method,	I-P 776 782
which	O 784 789
has	O 790 793
been	O 794 798
used	O 799 803
for	O 804 807
all	O 808 811
the	O 812 815
following	O 816 825
simulations	B-T 826 837
of	I-T 838 840
liquid	B-M 841 847
jet	I-T 848 851
primary	I-T 852 859
breakup.	I-T 860 867

