Power	B-M 0 5
and	I-M 6 9
particle	I-M 10 18
exhaust	I-M 19 26
are	O 27 30
crucial	O 31 38
for	O 39 42
the	O 43 46
viability	O 47 56
of	O 57 59
any	O 60 63
future	O 64 70
fusion	B-M 71 77
power	I-M 78 83
plant	I-M 84 89
concept.	O 90 97

Heat	O 99 103
in	O 104 106
fusion	B-P 107 113
reactors	I-P 114 122
must	O 123 127
be	O 128 130
extracted	O 131 140
through	O 141 148
a	O 149 150
wall	O 151 155
and	O 156 159
cannot	O 160 166
be	O 167 169
exhausted	O 170 179
volumetrically,	O 180 194
which	O 196 201
limits	O 202 208
the	O 209 212
allowed	O 213 220
power	O 221 226
density	O 227 234
in	O 235 237
fusion	B-P 238 244
reactors	I-P 245 253
[1]	O 254 257
and	O 258 261
is	O 262 264
a	O 265 266
severe	B-T 267 273
technical	I-T 274 283
challenge	I-T 284 293
in	O 294 296
itself	O 297 303
[2].	O 304 307

In	O 309 311
addition,	O 312 320
structural	B-M 322 332
material	I-M 333 341
changes	I-P 342 349
resulting	O 350 359
from	O 360 364
neutron	B-P 365 372
irradiation	I-P 373 384
cause	O 385 390
degradation	O 391 402
in	O 403 405
the	O 406 409
heat	O 410 414
exhaust	O 415 422
capabilities	O 423 435
of	O 436 438
existing	O 439 447
designs	O 448 455
[3]	O 456 459
and	O 460 463
static	B-P 464 470
surfaces	I-P 471 479
can	O 480 483
suffer	O 484 490
severely	O 491 499
from	O 500 504
erosion	O 505 512
due	O 513 516
to	O 517 519
impinging	B-M 520 529
plasma	I-M 530 536
particles	I-M 537 546
[4,5].	O 547 552

It	O 554 556
is	O 557 559
concluded	O 560 569
that	O 570 574
conventional	O 575 587
concepts	O 588 596
and	O 597 600
materials	O 601 610
for	O 611 614
plasma	B-T 615 621
facing	I-T 622 628
components	I-T 629 639
(PFCs)	O 640 646
reach	O 647 652
their	O 653 658
limits	O 659 665
in	O 666 668
terms	O 669 674
of	O 675 677
material	O 678 686
lifetime	O 687 695
and	O 696 699
power	O 700 705
exhaust	O 706 713
at	O 714 716
approximately	O 717 730
20MW/m2,	O 731 738
which	O 740 745
is	O 746 748
presumably	O 749 759
dramatically	O 760 772
reduced	O 773 780
to	O 781 783
<10MW/m2	O 784 792
due	O 793 796
to	O 797 799
neutron	B-P 800 807
damage	I-P 808 814
in	O 815 817
a	O 818 819
D-T	B-M 820 823
reactor	I-M 824 831
[6]	O 832 835
or	O 836 838
even	O 839 843
only	O 844 848
half	O 849 853
that	O 854 858
value	O 859 864
[7].	O 865 868

