Numerical	B-P 0 9
simulation	I-P 10 20
of	I-P 21 23
the	I-P 24 27
gas	I-P 28 31
flow	I-P 32 36
through	O 37 44
such	O 45 49
non-trivial	O 50 61
internal	O 62 70
geometries	O 71 81
is,	O 82 84
however,	O 86 93
extremely	O 95 104
challenging.	O 105 116

This	O 118 122
is	O 123 125
because	O 126 133
conventional	B-T 134 146
continuum	I-T 147 156
fluid	I-T 157 162
dynamics,	I-T 163 171
which	O 173 178
assumes	O 179 186
that	O 187 191
locally	O 192 199
a	O 200 201
gas	B-M 202 205
is	O 206 208
close	O 209 214
to	O 215 217
a	O 218 219
state	O 220 225
of	O 226 228
thermodynamic	B-T 229 242
equilibrium,	I-T 243 254
becomes	O 256 263
invalid	O 264 271
or	O 272 274
inaccurate	O 275 285
as	O 286 288
the	O 289 292
smallest	O 293 301
characteristic	O 302 316
scale	O 317 322
of	O 323 325
the	O 326 329
geometry	O 330 338
(e.g.	O 339 343
the	O 345 348
channel	B-M 349 356
height)	O 357 364
approaches	O 365 375
the	O 376 379
mean	O 380 384
distance	O 385 393
between	O 394 401
molecular	B-P 402 411
collisions,	I-P 412 422
λ	O 424 425
[1].	O 426 429

An	O 431 433
accurate	O 434 442
and	O 443 446
flexible	O 447 455
modelling	O 456 465
alternative	O 466 477
for	O 478 481
these	O 482 487
cases	O 488 493
is	O 494 496
the	O 497 500
direct	B-P 501 507
simulation	I-P 508 518
Monte	I-P 519 524
Carlo	I-P 525 530
method	I-P 531 537
(DSMC)	O 538 544
[2].	O 545 548

However,	O 550 557
DSMC	B-P 559 563
can	O 564 567
be	O 568 570
prohibitively	O 571 584
expensive	O 585 594
for	O 595 598
internal-flow	B-T 599 612
applications,	I-T 613 625
which	O 627 632
typically	O 633 642
have	O 643 647
a	O 648 649
geometry	O 650 658
of	O 659 661
high-aspect	O 662 673
ratio	O 674 679
(i.e.	O 680 684
are	O 686 689
extremely	O 690 699
long,	O 700 704
relative	O 706 714
to	O 715 717
their	O 718 723
cross-section).	O 724 738

The	O 740 743
high-aspect	B-P 744 755
ratio	I-P 756 761
creates	O 762 769
a	O 770 771
formidable	B-T 772 782
multiscale	I-T 783 793
problem:	I-T 794 801
processes	O 803 812
need	O 813 817
to	O 818 820
be	O 821 823
resolved	O 824 832
occurring	O 833 842
over	O 843 847
the	O 848 851
smallest	O 852 860
characteristic	O 861 875
scale	O 876 881
of	O 882 884
the	O 885 888
geometry	O 889 897
(e.g.	O 898 902
a	O 904 905
channelʼs	O 906 915
height),	O 916 923
as	O 925 927
well	O 928 932
as	O 933 935
over	O 936 940
the	O 941 944
largest	O 945 952
characteristic	O 953 967
scale	O 968 973
of	O 974 976
the	O 977 980
geometry	O 981 989
(e.g.	O 990 994
the	O 996 999
length	O 1000 1006
of	O 1007 1009
a	O 1010 1011
long	O 1012 1016
channel	O 1017 1024
network),	O 1025 1033
simultaneously.	O 1035 1049

