Observations	B-P 0 12
show	O 13 17
that	O 18 22
in	O 23 25
the	O 26 29
same	O 30 34
area	O 35 39
with	O 40 44
dimensions	O 45 55
of	O 56 58
a	O 59 60
few	O 61 64
tenths	O 65 71
of	O 72 74
a	O 75 76
parsec	O 77 83
could	O 84 89
be	O 90 92
many	O 93 97
sources,	O 98 105
some	O 107 111
of	O 112 114
which	O 115 120
only	O 121 125
emits	O 126 131
OH	B-M 132 134
lines,	I-M 135 140
and	O 142 145
some	O 146 150
–	O 151 152
only	O 153 157
lines	O 158 163
H2O.	B-M 164 167

The	O 169 172
only	O 173 177
known	O 178 183
in	O 184 186
physics	O 187 194
the	O 195 198
emission	B-P 199 207
mechanism	I-P 208 217
that	O 218 222
can	O 223 226
give	O 227 231
tremendous	O 232 242
power	O 243 248
within	O 249 255
a	O 256 257
narrow	O 258 264
range	O 265 270
of	O 271 273
the	O 274 277
spectrum,	O 278 286
is	O 288 290
coherent	O 291 299
(i.e.	O 300 304
the	O 306 309
same	O 310 314
phase	O 315 320
and	O 321 324
direction)	O 325 335
light	B-P 336 341
lasers,	I-P 342 348
which	O 350 355
are	O 356 359
called	O 360 366
optical	B-P 367 374
lasers,	I-P 375 381
and	O 383 386
radio-masers.	B-P 387 399

Cosmic	B-M 401 407
maser	I-M 408 413
radio	I-M 414 419
sources	I-M 420 427
emitting	O 428 436
in	O 437 439
the	O 440 443
lines	O 444 449
of	O 450 452
the	O 453 456
molecules	O 457 466
have	O 467 471
an	O 472 474
extremely	O 475 484
high	O 485 489
brightness	O 490 500
temperature	O 501 512
radiation	O 513 522
Tb.	O 523 525

In	O 527 529
the	O 530 533
molecules	O 534 543
of	O 544 546
methanol	B-M 547 555
masers	I-M 556 562
(CH3OH)	O 563 570
Tb	O 571 573
value	O 574 579
can	O 580 583
reach	O 584 589
109	O 590 593
K,	O 594 595
with	O 597 601
masers	B-M 602 608
hydroxyl	I-M 609 617
molecules	I-M 618 627
(OH)	O 628 632
6×1012	O 633 639
K.	O 640 641
The	O 643 646
typical	O 647 654
size	O 655 659
of	O 660 662
the	O 663 666
maser	B-M 667 672
clusters	I-M 673 681
is	O 682 684
about	O 685 690
1014–1015	O 691 700
m	O 701 702
and	O 703 706
the	O 707 710
neutron	B-M 711 718
star	I-M 719 723
radius	O 724 730
is	O 731 733
of	O 734 736
the	O 737 740
order	O 741 746
of	O 747 749
10	O 750 752
km.	O 753 755

Thus,	O 757 761
the	O 763 766
radiation	B-P 767 776
dilution	I-P 777 785
coefficient	I-P 786 797
is	O 798 800
equaled	O 801 808
approximately	O 809 822
(2.5×10−23)–(2.5×10−21)	O 823 846
and,	O 847 850
therefore,	O 852 861
μB2B2/4(hν)2∼(2.4×10−5)–(2.4×10−7)	O 863 897
for	O 898 901
the	O 902 905
hydrogen	B-M 906 914
line	I-M 915 919
21	O 920 922
cm	O 923 925
and	O 926 929
of	O 930 932
the	O 933 936
order	O 937 942
10−5–10−7	O 943 952
for	O 953 956
the	O 957 960
OH	O 961 963
18	O 964 966
cm	O 967 969
line	O 970 974
or	O 975 977
the	O 978 981
same	O 982 986
order	O 987 992
as	O 993 995
Eq.	O 996 998

(1).	O 1000 1003

